image_id,file_name,gt_id,gt_category_id,area,area_bucket,bbox_xywh,best_same_score,best_same_iou,best_any_category_id,best_any_score,best_any_iou
477,Japan_007618.jpg,998,0,44032.0,large,"[130.0, 94.0, 128.0, 344.0]",0.7579326629638672,0.6254205078035528,2,0.015283710323274136,0.6364719843998204
300,Japan_004792.jpg,601,2,12351.0,large,"[370.0, 436.0, 179.0, 69.0]",0.66959547996521,0.4543093128686238,2,0.66959547996521,0.4543093128686238
534,Japan_008755.jpg,1135,1,1582.0,medium,"[218.0, 515.0, 113.0, 14.0]",0.6374647617340088,0.4141816603718963,1,0.6374647617340088,0.4141816603718963
494,Japan_007944.jpg,1040,1,2074.0,medium,"[25.0, 548.0, 122.0, 17.0]",0.5884095430374146,0.447803155038553,1,0.5884095430374146,0.447803155038553
395,Japan_006253.jpg,806,0,4223.0,medium,"[284.0, 490.0, 41.0, 103.0]",0.5628977417945862,0.49867711808952725,0,0.5628977417945862,0.49867711808952725
499,Japan_008025.jpg,1051,0,1485.0,medium,"[241.0, 282.0, 27.0, 55.0]",0.5574337840080261,0.4711717002498551,2,0.014904990792274475,0.6138953444602016
213,Japan_003626.jpg,424,0,817.0,small,"[266.0, 348.0, 19.0, 43.0]",0.5410977602005005,0.4027477952170801,0,0.5410977602005005,0.4027477952170801
447,Japan_007226.jpg,928,0,16335.0,large,"[297.0, 72.0, 99.0, 165.0]",0.5386366844177246,0.33972812993960827,0,0.5386366844177246,0.33972812993960827
524,Japan_008516.jpg,1099,1,660.0,small,"[163.0, 417.0, 60.0, 11.0]",0.5369423627853394,0.46821902143679456,1,0.5369423627853394,0.46821902143679456
469,Japan_007486.jpg,980,3,1386.0,medium,"[365.0, 459.0, 63.0, 22.0]",0.5340604782104492,0.44618004366134856,3,0.5340604782104492,0.44618004366134856
133,Japan_002411.jpg,277,1,1005.0,small,"[338.0, 394.0, 67.0, 15.0]",0.5330172777175903,0.32731800197902683,1,0.5330172777175903,0.32731800197902683
112,Japan_002035.jpg,228,1,4477.0,medium,"[20.0, 512.0, 121.0, 37.0]",0.526220440864563,0.4988034780302802,2,0.17624250054359436,0.6296986724720884
368,Japan_005982.jpg,744,3,364.0,small,"[139.0, 135.0, 28.0, 13.0]",0.5246918201446533,0.4678633513945166,3,0.5246918201446533,0.4678633513945166
529,Japan_008703.jpg,1115,1,3300.0,medium,"[38.0, 411.0, 165.0, 20.0]",0.522483229637146,0.3594478394901988,1,0.522483229637146,0.3594478394901988
104,Japan_001909.jpg,208,3,255.0,small,"[364.0, 390.0, 17.0, 15.0]",0.4900379478931427,0.47143731951451207,3,0.4900379478931427,0.47143731951451207
436,Japan_007066.jpg,897,0,1804.0,medium,"[194.0, 488.0, 22.0, 82.0]",0.48920172452926636,0.0,2,0.053297366946935654,0.07372861112600561
300,Japan_004792.jpg,603,3,720.0,small,"[73.0, 382.0, 48.0, 15.0]",0.4862760305404663,0.0,2,0.14389151334762573,0.016712649891846277
111,Japan_002032.jpg,226,1,7119.0,medium,"[113.0, 258.0, 339.0, 21.0]",0.46836864948272705,0.4817572988043836,1,0.46836864948272705,0.4817572988043836
688,Japan_011513.jpg,1446,0,250.0,small,"[245.0, 318.0, 10.0, 25.0]",0.4055497348308563,0.0,2,0.022066792473196983,0.041970042728604606
688,Japan_011513.jpg,1447,0,336.0,small,"[236.0, 352.0, 12.0, 28.0]",0.4055497348308563,0.0,1,0.017487850040197372,0.0815574449678247
91,Japan_001690.jpg,183,1,1118.0,medium,"[512.0, 259.0, 86.0, 13.0]",0.40140336751937866,0.49457675862910927,1,0.40140336751937866,0.49457675862910927
494,Japan_007944.jpg,1039,1,315.0,small,"[280.0, 328.0, 45.0, 7.0]",0.39540234208106995,0.3397602626885818,1,0.39540234208106995,0.3397602626885818
428,Japan_006946.jpg,879,3,527.0,small,"[400.0, 199.0, 31.0, 17.0]",0.39216989278793335,0.44689329747867684,3,0.39216989278793335,0.44689329747867684
495,Japan_007951.jpg,1042,2,8910.0,medium,"[243.0, 325.0, 90.0, 99.0]",0.3741445541381836,0.8073536064230785,2,0.3741445541381836,0.8073536064230785
496,Japan_007959.jpg,1046,3,3726.0,medium,"[364.0, 433.0, 69.0, 54.0]",0.3726292848587036,0.8036232971950243,3,0.3726292848587036,0.8036232971950243
91,Japan_001690.jpg,185,1,4216.0,medium,"[301.0, 169.0, 124.0, 34.0]",0.37182971835136414,0.6261758867712414,1,0.37182971835136414,0.6261758867712414
599,Japan_010158.jpg,1263,2,72928.0,large,"[254.0, 388.0, 344.0, 212.0]",0.3715747892856598,0.8520573921797885,2,0.3715747892856598,0.8520573921797885
265,Japan_004260.jpg,522,1,3048.0,medium,"[205.0, 369.0, 127.0, 24.0]",0.37147045135498047,0.6074445587513361,1,0.37147045135498047,0.6074445587513361
332,Japan_005395.jpg,660,3,3720.0,medium,"[478.0, 131.0, 62.0, 60.0]",0.3708406984806061,0.9089720708731398,3,0.3708406984806061,0.9089720708731398
157,Japan_002780.jpg,334,1,1104.0,medium,"[367.0, 445.0, 69.0, 16.0]",0.3700203001499176,0.5488295556399871,1,0.3700203001499176,0.5488295556399871
748,Japan_012332.jpg,1563,1,5781.0,medium,"[76.0, 445.0, 123.0, 47.0]",0.3664126694202423,0.612007205132862,1,0.3664126694202423,0.612007205132862
517,Japan_008404.jpg,1085,3,304.0,small,"[212.0, 384.0, 16.0, 19.0]",0.365695595741272,0.3530327630731316,3,0.365695595741272,0.3530327630731316
701,Japan_011658.jpg,1467,3,3240.0,medium,"[435.0, 459.0, 60.0, 54.0]",0.3656425476074219,0.5515886582831394,3,0.3656425476074219,0.5515886582831394
